SDIE v4 RAG Pipeline — Inizio Slab with tag.dxf
Processed: 2026-06-05T10:18:43.067619+00:00
Components classified: 5809
Graph: 5809 nodes, 8402 edges

Slabs detected: 697
Total area:      44267.978 m²
Total concrete:  9198.433 m³
Total shuttering:44267.978 m²

Benchmark overall accuracy: 0.0%
  SLAB-191: 43.134 m², 200 mm (local_thk_label), 8.627 m³
  SLAB-192: 29.417 m², 200 mm (local_thk_label), 5.883 m³
  SLAB-193: 43.641 m², 200 mm (local_thk_label), 8.728 m³
  SLAB-194: 41.933 m², 200 mm (local_thk_label), 8.387 m³
  SLAB-195: 23.176 m², 200 mm (local_thk_label), 4.635 m³
  SLAB-196: 26.993 m², 200 mm (local_thk_label), 5.399 m³
  SLAB-197: 3.626 m², 200 mm (local_thk_label), 0.725 m³
  SLAB-198: 0.406 m², 200 mm (local_thk_label), 0.081 m³
  SLAB-199: 29.012 m², 200 mm (local_thk_label), 5.802 m³
  SLAB-200: 123.650 m², 200 mm (local_thk_label), 24.730 m³
  SLAB-201: 317.655 m², 200 mm (local_thk_label), 63.531 m³
  SLAB-202: 28.293 m², 200 mm (local_thk_label), 5.659 m³
  SLAB-203: 170.391 m², 200 mm (local_thk_label), 34.078 m³
  SLAB-204: 682.528 m², 200 mm (local_thk_label), 136.506 m³
  SLAB-205: 3.506 m², 200 mm (local_thk_label), 0.701 m³
  SLAB-206: 17.492 m², 200 mm (local_thk_label), 3.498 m³
  SLAB-207: 9.917 m², 200 mm (local_thk_label), 1.983 m³
  SLAB-208: 2.106 m², 200 mm (local_thk_label), 0.421 m³
  SLAB-209: 6.483 m², 200 mm (local_thk_label), 1.297 m³
  SLAB-210: 17.073 m², 200 mm (local_thk_label), 3.415 m³
  SLAB-211: 7.220 m², 200 mm (local_thk_label), 1.444 m³
  SLAB-212: 11.604 m², 200 mm (local_thk_label), 2.321 m³
  SLAB-213: 2.231 m², 200 mm (local_thk_label), 0.446 m³
  SLAB-214: 12.446 m², 200 mm (local_thk_label), 2.489 m³
  SLAB-215: 1.925 m², 200 mm (local_thk_label), 0.385 m³
  SLAB-216: 0.448 m², 200 mm (local_thk_label), 0.090 m³
  SLAB-217: 1.063 m², 200 mm (local_thk_label), 0.213 m³
  SLAB-218: 1.028 m², 200 mm (local_thk_label), 0.206 m³
  SLAB-219: 0.510 m², 200 mm (local_thk_label), 0.102 m³
  SLAB-220: 24.226 m², 200 mm (local_thk_label), 4.845 m³
  SLAB-221: 14.904 m², 200 mm (local_thk_label), 2.981 m³
  SLAB-222: 25.579 m², 200 mm (local_thk_label), 5.116 m³
  SLAB-223: 16.339 m², 200 mm (local_thk_label), 3.268 m³
  SLAB-224: 8.411 m², 200 mm (local_thk_label), 1.682 m³
  SLAB-225: 42.291 m², 200 mm (local_thk_label), 8.458 m³
  SLAB-226: 70.986 m², 200 mm (local_thk_label), 14.197 m³
  SLAB-227: 31.428 m², 200 mm (local_thk_label), 6.286 m³
  SLAB-228: 112.555 m², 200 mm (local_thk_label), 22.511 m³
  SLAB-229: 28.228 m², 200 mm (local_thk_label), 5.646 m³
  SLAB-230: 27.669 m², 200 mm (local_thk_label), 5.534 m³
  SLAB-231: 1.328 m², 200 mm (local_thk_label), 0.266 m³
  SLAB-232: 31.614 m², 200 mm (local_thk_label), 6.323 m³
  SLAB-233: 20.224 m², 200 mm (local_thk_label), 4.045 m³
  SLAB-234: 23.401 m², 200 mm (local_thk_label), 4.680 m³
  SLAB-235: 3.715 m², 200 mm (local_thk_label), 0.743 m³
  SLAB-236: 120.742 m², 200 mm (local_thk_label), 24.148 m³
  SLAB-237: 69.601 m², 200 mm (local_thk_label), 13.920 m³
  SLAB-238: 71.327 m², 200 mm (local_thk_label), 14.265 m³
