SDIE v4 RAG Pipeline — Trust office Slab & Beam with tag.dxf
Processed: 2026-06-05T11:15:34.905028+00:00
Components classified: 7287
Graph: 7287 nodes, 8324 edges

Slabs detected: 5330
Total area:      137828.113 m²
Total concrete:  27547.887 m³
Total shuttering:137828.113 m²

Benchmark overall accuracy: 0.0%
  SLAB-197: 1.703 m², 200 mm (default_note), 0.341 m³
  SLAB-198: 4.105 m², 200 mm (default_note), 0.821 m³
  SLAB-199: 3.725 m², 200 mm (default_note), 0.745 m³
  SLAB-200: 2.418 m², 200 mm (default_note), 0.484 m³
  SLAB-201: 1.765 m², 200 mm (default_note), 0.353 m³
  SLAB-202: 1.211 m², 200 mm (default_note), 0.242 m³
  SLAB-203: 2.607 m², 200 mm (default_note), 0.521 m³
  SLAB-204: 2.469 m², 200 mm (default_note), 0.494 m³
  SLAB-205: 5.258 m², 200 mm (default_note), 1.052 m³
  SLAB-206: 1.254 m², 200 mm (default_note), 0.251 m³
  SLAB-207: 4.086 m², 200 mm (default_note), 0.817 m³
  SLAB-208: 7.566 m², 200 mm (default_note), 1.513 m³
  SLAB-209: 2.418 m², 200 mm (default_note), 0.484 m³
  SLAB-210: 2.111 m², 200 mm (default_note), 0.422 m³
  SLAB-211: 4.277 m², 200 mm (default_note), 0.855 m³
  SLAB-212: 6.258 m², 200 mm (default_note), 1.252 m³
  SLAB-213: 2.631 m², 200 mm (default_note), 0.526 m³
  SLAB-214: 2.433 m², 200 mm (default_note), 0.487 m³
  SLAB-215: 1.101 m², 200 mm (default_note), 0.220 m³
  SLAB-216: 1.295 m², 200 mm (default_note), 0.259 m³
  SLAB-217: 2.155 m², 200 mm (default_note), 0.431 m³
  SLAB-218: 1.903 m², 200 mm (default_note), 0.381 m³
  SLAB-219: 1.450 m², 200 mm (default_note), 0.290 m³
  SLAB-220: 6.767 m², 200 mm (default_note), 1.353 m³
  SLAB-221: 1.476 m², 200 mm (default_note), 0.295 m³
  SLAB-222: 1.677 m², 200 mm (default_note), 0.335 m³
  SLAB-223: 3.443 m², 200 mm (default_note), 0.689 m³
  SLAB-224: 4.969 m², 200 mm (default_note), 0.994 m³
  SLAB-225: 4.780 m², 200 mm (default_note), 0.956 m³
  SLAB-226: 2.155 m², 200 mm (default_note), 0.431 m³
  SLAB-227: 3.089 m², 200 mm (default_note), 0.618 m³
  SLAB-228: 5.591 m², 200 mm (default_note), 1.118 m³
  SLAB-229: 11.752 m², 200 mm (default_note), 2.350 m³
  SLAB-230: 8.828 m², 175 mm (175THK), 1.545 m³
  SLAB-231: 4.071 m², 200 mm (default_note), 0.814 m³
  SLAB-232: 12.388 m², 200 mm (default_note), 2.478 m³
  SLAB-233: 3.710 m², 200 mm (default_note), 0.742 m³
  SLAB-234: 0.865 m², 200 mm (default_note), 0.173 m³
  SLAB-235: 6.459 m², 200 mm (default_note), 1.292 m³
  SLAB-236: 3.710 m², 200 mm (default_note), 0.742 m³
  SLAB-237: 10.093 m², 200 mm (default_note), 2.019 m³
  SLAB-238: 5.304 m², 200 mm (default_note), 1.061 m³
  SLAB-239: 10.611 m², 200 mm (default_note), 2.122 m³
  SLAB-240: 3.601 m², 200 mm (default_note), 0.720 m³
  SLAB-241: 1.612 m², 200 mm (default_note), 0.322 m³
  SLAB-242: 4.340 m², 200 mm (default_note), 0.868 m³
  SLAB-243: 10.155 m², 200 mm (default_note), 2.031 m³
  SLAB-244: 4.897 m², 200 mm (default_note), 0.979 m³
  SLAB-245: 14.302 m², 200 mm (default_note), 2.860 m³
  SLAB-246: 31.107 m², 200 mm (default_note), 6.221 m³
  SLAB-247: 4.948 m², 200 mm (default_note), 0.990 m³
  SLAB-248: 7.543 m², 200 mm (default_note), 1.509 m³
  SLAB-249: 3.265 m², 200 mm (default_note), 0.653 m³
  SLAB-250: 1.647 m², 200 mm (default_note), 0.329 m³
  SLAB-251: 3.969 m², 200 mm (default_note), 0.794 m³
  SLAB-252: 3.601 m², 200 mm (default_note), 0.720 m³
  SLAB-253: 2.333 m², 200 mm (default_note), 0.467 m³
  SLAB-254: 1.749 m², 200 mm (default_note), 0.350 m³
  SLAB-255: 1.198 m², 200 mm (default_note), 0.240 m³
  SLAB-256: 2.540 m², 200 mm (default_note), 0.508 m³
  SLAB-257: 2.379 m², 200 mm (default_note), 0.476 m³
  SLAB-258: 5.352 m², 200 mm (default_note), 1.070 m³
  SLAB-259: 4.647 m², 200 mm (default_note), 0.929 m³
  SLAB-260: 7.316 m², 200 mm (default_note), 1.463 m³
  SLAB-261: 2.333 m², 200 mm (default_note), 0.467 m³
  SLAB-262: 5.334 m², 200 mm (default_note), 1.067 m³
  SLAB-263: 4.948 m², 200 mm (default_note), 0.990 m³
  SLAB-264: 5.244 m², 200 mm (default_note), 1.049 m³
  SLAB-265: 2.548 m², 200 mm (default_note), 0.510 m³
  SLAB-266: 3.271 m², 200 mm (default_note), 0.654 m³
  SLAB-267: 1.647 m², 200 mm (default_note), 0.329 m³
  SLAB-268: 3.969 m², 200 mm (default_note), 0.794 m³
  SLAB-269: 3.601 m², 200 mm (default_note), 0.720 m³
  SLAB-270: 2.338 m², 200 mm (default_note), 0.468 m³
  SLAB-271: 1.707 m², 200 mm (default_note), 0.341 m³
  SLAB-272: 1.178 m², 200 mm (default_note), 0.236 m³
  SLAB-273: 2.535 m², 200 mm (default_note), 0.507 m³
  SLAB-274: 2.388 m², 200 mm (default_note), 0.478 m³
  SLAB-275: 5.084 m², 200 mm (default_note), 1.017 m³
  SLAB-276: 1.213 m², 200 mm (default_note), 0.243 m³
  SLAB-277: 3.951 m², 200 mm (default_note), 0.790 m³
  SLAB-278: 7.316 m², 200 mm (default_note), 1.463 m³
  SLAB-279: 2.338 m², 200 mm (default_note), 0.468 m³
  SLAB-280: 2.090 m², 200 mm (default_note), 0.418 m³
  SLAB-281: 4.154 m², 200 mm (default_note), 0.831 m³
  SLAB-282: 6.051 m², 200 mm (default_note), 1.210 m³
  SLAB-283: 2.544 m², 200 mm (default_note), 0.509 m³
  SLAB-284: 2.352 m², 200 mm (default_note), 0.470 m³
  SLAB-285: 1.065 m², 200 mm (default_note), 0.213 m³
  SLAB-286: 1.252 m², 200 mm (default_note), 0.250 m³
  SLAB-287: 2.084 m², 200 mm (default_note), 0.417 m³
  SLAB-288: 1.840 m², 200 mm (default_note), 0.368 m³
  SLAB-289: 1.402 m², 200 mm (default_note), 0.280 m³
  SLAB-290: 6.543 m², 200 mm (default_note), 1.309 m³
  SLAB-291: 1.447 m², 200 mm (default_note), 0.289 m³
  SLAB-292: 1.633 m², 200 mm (default_note), 0.327 m³
  SLAB-293: 3.329 m², 200 mm (default_note), 0.666 m³
  SLAB-294: 4.805 m², 200 mm (default_note), 0.961 m³
  SLAB-295: 4.621 m², 200 mm (default_note), 0.924 m³
  SLAB-296: 2.084 m², 200 mm (default_note), 0.417 m³
  SLAB-297: 2.986 m², 200 mm (default_note), 0.597 m³
  SLAB-298: 5.405 m², 200 mm (default_note), 1.081 m³
  SLAB-299: 12.490 m², 200 mm (default_note), 2.498 m³
  SLAB-300: 8.575 m², 175 mm (175THK), 1.501 m³
  SLAB-301: 3.937 m², 200 mm (default_note), 0.787 m³
  SLAB-302: 11.978 m², 200 mm (default_note), 2.396 m³
  SLAB-303: 3.588 m², 200 mm (default_note), 0.718 m³
  SLAB-304: 0.867 m², 200 mm (default_note), 0.173 m³
  SLAB-305: 6.257 m², 200 mm (default_note), 1.251 m³
  SLAB-306: 3.588 m², 200 mm (default_note), 0.718 m³
  SLAB-307: 9.090 m², 200 mm (default_note), 1.818 m³
  SLAB-308: 4.777 m², 200 mm (default_note), 0.955 m³
  SLAB-309: 9.556 m², 200 mm (default_note), 1.911 m³
  SLAB-310: 3.244 m², 200 mm (default_note), 0.649 m³
  SLAB-311: 1.452 m², 200 mm (default_note), 0.290 m³
  SLAB-312: 3.909 m², 200 mm (default_note), 0.782 m³
  SLAB-313: 9.146 m², 200 mm (default_note), 1.829 m³
  SLAB-314: 4.410 m², 200 mm (default_note), 0.882 m³
  SLAB-315: 12.881 m², 200 mm (default_note), 2.576 m³
  SLAB-316: 32.405 m², 200 mm (default_note), 6.481 m³
  SLAB-317: 2.305 m², 200 mm (default_note), 0.461 m³
  SLAB-318: 4.595 m², 200 mm (default_note), 0.919 m³
  SLAB-319: 6.671 m², 200 mm (default_note), 1.334 m³
  SLAB-320: 2.941 m², 200 mm (default_note), 0.588 m³
  SLAB-321: 1.483 m², 200 mm (default_note), 0.297 m³
  SLAB-322: 3.574 m², 200 mm (default_note), 0.715 m³
  SLAB-323: 3.243 m², 200 mm (default_note), 0.649 m³
  SLAB-324: 2.101 m², 200 mm (default_note), 0.420 m³
  SLAB-325: 1.575 m², 200 mm (default_note), 0.315 m³
  SLAB-326: 3.827 m², 200 mm (default_note), 0.765 m³
  SLAB-327: 1.841 m², 200 mm (default_note), 0.368 m³
  SLAB-328: 4.671 m², 200 mm (default_note), 0.934 m³
  SLAB-329: 2.143 m², 200 mm (default_note), 0.429 m³
  SLAB-330: 4.820 m², 200 mm (default_note), 0.964 m³
  SLAB-331: 4.185 m², 200 mm (default_note), 0.837 m³
  SLAB-332: 6.588 m², 200 mm (default_note), 1.318 m³
  SLAB-333: 2.101 m², 200 mm (default_note), 0.420 m³
  SLAB-334: 5.195 m², 200 mm (default_note), 1.039 m³
  SLAB-335: 2.261 m², 200 mm (default_note), 0.452 m³
  SLAB-336: 2.305 m², 200 mm (default_note), 0.461 m³
  SLAB-337: 2.201 m², 200 mm (default_note), 0.440 m³
  SLAB-338: 4.595 m², 200 mm (default_note), 0.919 m³
  SLAB-339: 4.601 m², 200 mm (default_note), 0.920 m³
  SLAB-340: 2.294 m², 200 mm (default_note), 0.459 m³
  SLAB-341: 2.946 m², 200 mm (default_note), 0.589 m³
  SLAB-342: 1.483 m², 200 mm (default_note), 0.297 m³
